sport,confidence,total_bets,wins,losses,open_bets,total_wagered,total_profit,roi_pct,win_pct
NBA,HIGH,50,40,9,1,247.13,-4.769999999999998,-1.93,81.63
NBA,MEDIUM,56,43,13,0,245.31000000000003,17.689999999999998,7.21,76.79
NBA,LOW,22,13,9,0,68.44,-21.44,-31.33,59.09
NBA,HIGH_DISAGREEMENT,7,0,2,5,24.36,-16.33,-67.04,0.0
NBA,MEDIUM_DISAGREEMENT,1,0,0,1,7.8,,,
NCAAB,HIGH,45,32,13,0,189.44,7.559999999999999,3.99,71.11
NCAAB,MEDIUM,83,61,22,0,226.81999999999988,1.1799999999999975,0.52,73.49
NCAAB,LOW,34,27,7,0,117.12999999999997,-10.129999999999997,-8.65,79.41
NHL,HIGH,26,21,5,0,35.07999999999999,5.92,16.88,80.77
NHL,MEDIUM,47,9,38,0,43.910000000000004,-23.91,-54.45,19.15
TENNIS,HIGH,69,40,29,0,205.63000000000002,-54.63,-26.57,57.97
TENNIS,MEDIUM,75,47,28,0,210.72999999999996,-17.729999999999986,-8.41,62.67
TENNIS,LOW,41,24,17,0,188.38,-79.37999999999997,-42.14,58.54
WNCAAB,HIGH,3,0,3,0,2.06,-2.06,-100.0,0.0
WNCAAB,MEDIUM,19,16,3,0,101.41,-11.41,-11.25,84.21
WNCAAB,LOW,10,7,3,0,39.35,-7.350000000000001,-18.68,70.0
