model,log_loss,brier_score,accuracy,expected_value,roi_pct,num_games
Pure Elo,0.7101466648203898,0.25703447637025156,0.5447257003873525,35.2053574312046,0.31713681137919647,11101
Glicko-2 Blend,0.7175189742106257,0.260072262945621,0.5425637329970273,32.246742875402326,0.2904850272534215,11101
Team Factors,0.7643093159869767,0.270881795252485,0.5479686514728402,40.031652485281576,0.36061303022503893,11101
BetMGM Blend 60%,0.7080950392060915,0.25610621919282833,0.543554634717593,34.29329609067196,0.3089207827283304,11101
BetMGM Blend 70%,0.7077422528871872,0.25600444302264647,0.5451761102603369,35.83906567026986,0.32284538032852766,11101
BetMGM Blend 80%,0.7079604494073681,0.2561252271621564,0.544365372488965,35.97509765089006,0.324070783270787,11101
Recency Weighting,0.7137046438462938,0.2585120310069715,0.5438248806413837,33.53616505698977,0.30210039687406337,11101
Situation Adjustments,0.7102194441389665,0.25706339490700714,0.5449058643365463,35.219598376004974,0.3172650966219708,11101
